trade_date,signal_date,book,ticker,side,shares,trade_price,trade_value,reason
2026-01-02,2025-12-31,long,HK.00005,BUY,422.5158357268406,118.33875980999998,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00358,BUY,1162.2095928779797,43.021499999999996,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00631,BUY,5838.202394130038,8.56428,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00670,BUY,9341.123830608061,5.352675,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00753,BUY,7068.60148426494,7.073535,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.01208,BUY,5704.910102026613,8.76438,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.02888,BUY,270.62003674991087,184.76089428,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.03393,BUY,2895.4236670772375,17.26863,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.03993,BUY,2582.687984173288,19.359675,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.06869,BUY,966.4413441248428,51.72585,49990.0,replacement_buy
2026-01-05,2026-01-02,long,HK.00631,SELL,5838.202394130038,8.645675,50475.20048387022,replacement_sell
2026-01-05,2026-01-02,long,HK.00670,SELL,9341.123830608061,5.317340000000001,49669.931389445475,replacement_sell
2026-01-05,2026-01-02,long,HK.00753,SELL,7068.60148426494,7.106445000000001,50232.627674847165,replacement_sell
2026-01-05,2026-01-02,long,HK.02888,SELL,270.62003674991087,188.77412572,51086.06083977869,replacement_sell
2026-01-05,2026-01-02,long,HK.02600,BUY,3929.7256209510692,12.816405,50364.95509698539,replacement_buy
2026-01-05,2026-01-02,long,HK.02656,BUY,858.3083581310008,58.679325,50364.95509698539,replacement_buy
2026-01-05,2026-01-02,long,HK.02899,BUY,1360.5347352536,37.018499999999996,50364.95509698539,replacement_buy
2026-01-05,2026-01-02,long,HK.03899,BUY,5270.763057945937,9.554775,50360.95509698539,replacement_buy
2026-01-06,2026-01-05,long,HK.02656,SELL,858.3083581310008,60.019975,51515.64619731371,replacement_sell
2026-01-06,2026-01-05,long,HK.02899,SELL,1360.5347352536,37.181400000000004,50586.58620535821,replacement_sell
2026-01-06,2026-01-05,long,HK.03393,SELL,2895.4236670772375,17.5912,50933.976812289104,replacement_sell
2026-01-06,2026-01-05,long,HK.06869,SELL,966.4413441248428,51.27435,49553.65173312763,replacement_sell
2026-01-06,2026-01-05,long,HK.00631,BUY,5758.948197917216,8.794394999999998,50646.46523702217,replacement_buy
2026-01-06,2026-01-05,long,HK.01336,BUY,853.6451038733949,59.329649999999994,50646.46523702216,replacement_buy
2026-01-06,2026-01-05,long,HK.02318,BUY,732.0485127938151,69.184575,50646.46523702216,replacement_buy
2026-01-06,2026-01-05,long,HK.02888,BUY,268.2861238708389,188.76289428,50642.465237022145,replacement_buy
2026-01-07,2026-01-06,long,HK.02600,SELL,3929.7256209510692,13.373310000000002,52553.43894392115,replacement_sell
2026-01-07,2026-01-06,long,HK.02601,BUY,1357.2396991148134,38.71935,52551.43894392115,replacement_buy
2026-01-08,2026-01-07,long,HK.00631,SELL,5758.948197917216,8.705645,50135.358584457026,replacement_sell
2026-01-08,2026-01-07,long,HK.02888,SELL,268.2861238708389,185.57572572000004,49787.39213793675,replacement_sell
2026-01-08,2026-01-07,long,HK.01093,BUY,5463.392522687987,9.14457,49960.375361196886,replacement_buy
2026-01-08,2026-01-07,long,HK.02628,BUY,1585.1875764085223,31.515749999999997,49958.375361196886,replacement_buy
2026-01-09,2026-01-08,long,HK.00005,SELL,422.5158357268406,121.81868019000001,51470.321467618574,replacement_sell
2026-01-09,2026-01-08,long,HK.02628,SELL,1585.1875764085223,31.084450000000004,49274.6839594919,replacement_sell
2026-01-09,2026-01-08,long,HK.01364,BUY,1871.610763895199,26.913449999999997,50371.50271355524,replacement_buy
2026-01-09,2026-01-08,long,HK.02600,BUY,3765.469749310479,13.376684999999998,50369.50271355524,replacement_buy
2026-01-12,2026-01-09,long,HK.01364,SELL,1871.610763895199,26.68665,49947.02139230381,replacement_sell
2026-01-12,2026-01-09,long,HK.00631,BUY,5546.673484624777,9.0045,49945.02139230381,replacement_buy
2026-01-13,2026-01-12,long,HK.02318,SELL,732.0485127938151,69.1654,50632.428206789344,replacement_sell
2026-01-13,2026-01-12,long,HK.02601,SELL,1357.2396991148134,38.48075,52227.60155171236,replacement_sell
2026-01-13,2026-01-12,long,HK.02208,BUY,2988.564722246485,17.208599999999997,51429.014879250855,replacement_buy
2026-01-13,2026-01-12,long,HK.02899,BUY,1285.0328555534948,40.019999999999996,51427.014879250855,replacement_buy
2026-01-14,2026-01-13,long,HK.00631,SELL,5546.673484624777,9.155420000000001,50782.125354603384,replacement_sell
2026-01-14,2026-01-13,long,HK.02208,SELL,2988.564722246485,15.782105,47165.84224578986,replacement_sell
2026-01-14,2026-01-13,long,HK.02600,SELL,3765.469749310479,13.743125000000001,51749.321448492585,replacement_sell
2026-01-14,2026-01-13,long,HK.02318,BUY,712.4737109963392,70.035,49898.09634962861,replacement_buy
2026-01-14,2026-01-13,long,HK.02400,BUY,593.0221137900564,84.14204999999998,49898.096349628606,replacement_buy
2026-01-14,2026-01-13,long,HK.02525,BUY,238.84176852966533,208.9044,49895.09634962862,replacement_buy
2026-01-15,2026-01-14,long,HK.01336,SELL,853.6451038733949,61.1694,52216.958816873244,replacement_sell
2026-01-15,2026-01-14,long,HK.02318,SELL,712.4737109963392,68.9655,49136.10571571803,replacement_sell
2026-01-15,2026-01-14,long,HK.02400,SELL,593.0221137900564,84.10792500000001,49877.859469995536,replacement_sell
2026-01-15,2026-01-14,long,HK.00631,BUY,5360.012334350088,9.4047,50409.30800086227,replacement_buy
2026-01-15,2026-01-14,long,HK.03393,BUY,2557.56933720258,19.70985,50409.308000862264,replacement_buy
2026-01-15,2026-01-14,long,HK.09626,BUY,195.27564900054728,258.12899999999996,50406.308000862264,replacement_buy
2026-01-16,2026-01-15,long,HK.01093,SELL,5463.392522687987,9.895050000000001,54060.54218162378,replacement_sell
2026-01-16,2026-01-15,long,HK.01347,BUY,531.0887497217599,101.0505,53666.783703758694,replacement_buy
2026-01-19,2026-01-16,long,HK.01208,SELL,5704.910102026613,9.45527,53941.46534038917,replacement_sell
2026-01-19,2026-01-16,long,HK.03393,SELL,2557.56933720258,20.9895,53682.10160321355,replacement_sell
2026-01-19,2026-01-16,long,HK.03899,SELL,5270.763057945937,10.604695,55894.83464678399,replacement_sell
2026-01-19,2026-01-16,long,HK.01336,BUY,874.3001726851435,61.73085,53971.292815000685,replacement_buy
2026-01-19,2026-01-16,long,HK.02099,BUY,285.9996145341132,188.71106838,53971.292815000685,replacement_buy
2026-01-19,2026-01-16,long,HK.03330,BUY,2365.9789760821645,22.8114,53971.292815000685,replacement_buy
2026-01-20,2026-01-19,long,HK.01336,SELL,874.3001726851435,60.41977500000001,52825.01971609752,replacement_sell
2026-01-20,2026-01-19,long,HK.01347,SELL,531.0887497217599,103.44825,54940.20175340405,replacement_sell
2026-01-20,2026-01-19,long,HK.09626,SELL,195.27564900054728,239.88000000000002,46842.72268225128,replacement_sell
2026-01-20,2026-01-19,long,HK.00522,BUY,535.6501276227134,97.4487,52198.40859166751,replacement_buy
2026-01-20,2026-01-19,long,HK.01093,BUY,5440.283882216089,9.594795,52198.40859166752,replacement_buy
2026-01-20,2026-01-19,long,HK.03393,BUY,2382.160910032086,21.910949999999996,52195.408591667525,replacement_buy
2026-01-21,2026-01-20,long,HK.00522,SELL,535.6501276227134,98.40077500000001,52708.38768692391,replacement_sell
2026-01-21,2026-01-20,long,HK.01093,SELL,5440.283882216089,9.685155,52689.992643264566,replacement_sell
2026-01-21,2026-01-20,long,HK.02099,SELL,285.9996145341132,195.61890162,55946.930458906616,replacement_sell
2026-01-21,2026-01-20,long,HK.01208,BUY,5811.231709878219,9.254624999999999,53780.77026303171,replacement_buy
2026-01-21,2026-01-20,long,HK.01336,BUY,866.9982792963472,62.031,53780.77026303171,replacement_buy
2026-01-21,2026-01-20,long,HK.02259,BUY,290.54537738175077,185.0925,53777.77026303171,replacement_buy
2026-01-22,2026-01-21,long,HK.01336,SELL,866.9982792963472,61.919025000000005,53683.68813070751,replacement_sell
2026-01-22,2026-01-21,long,HK.00522,BUY,502.38633614566794,106.8534,53681.68813070751,replacement_buy
2026-01-23,2026-01-22,long,HK.00358,SELL,1162.2095928779797,44.95751,52250.0493939077,replacement_sell
2026-01-23,2026-01-22,long,HK.01208,SELL,5811.231709878219,9.745125,56631.179416726976,replacement_sell
2026-01-23,2026-01-22,long,HK.03330,SELL,2365.9789760821645,24.5877,58173.98127021544,replacement_sell
2026-01-23,2026-01-22,long,HK.03993,SELL,2582.687984173288,21.74912,56171.19089034294,replacement_sell
2026-01-23,2026-01-22,long,HK.01347,BUY,506.48119108892735,109.35464999999999,55386.073383112765,replacement_buy
2026-01-23,2026-01-22,long,HK.02099,BUY,268.31748514284425,206.41991837999998,55386.073383112765,replacement_buy
2026-01-23,2026-01-22,long,HK.02338,BUY,2228.5987997592497,24.85242,55386.073383112765,replacement_buy
2026-01-23,2026-01-22,long,HK.03939,BUY,4043.710313076681,13.696844999999998,55386.073383112765,replacement_buy
2026-01-26,2026-01-23,long,HK.02899,SELL,1285.0328555534948,41.5792,53430.63810762987,replacement_sell
2026-01-26,2026-01-23,long,HK.03939,SELL,4043.710313076681,13.783104999999999,55734.88383471876,replacement_sell
2026-01-26,2026-01-23,long,HK.01072,BUY,1958.6675788889615,28.29414,55418.81469054532,replacement_buy
2026-01-26,2026-01-23,long,HK.01208,BUY,5128.622234303711,10.8054,55416.81469054532,replacement_buy
2026-01-27,2026-01-26,long,HK.00522,SELL,502.38633614566794,105.1474,52824.61704124301,replacement_sell
2026-01-27,2026-01-26,long,HK.01072,SELL,1958.6675788889615,27.5862,54032.195564746675,replacement_sell
2026-01-27,2026-01-26,long,HK.02338,SELL,2228.5987997592497,26.26686,58538.29266944425,replacement_sell
2026-01-27,2026-01-26,long,HK.02525,SELL,238.84176852966533,198.7006,47458.00271190562,replacement_sell
2026-01-27,2026-01-26,long,HK.03393,SELL,2382.160910032086,23.3883,55714.69401210344,replacement_sell
2026-01-27,2026-01-26,long,HK.00358,BUY,1149.5870993815424,46.72335,53712.56039988859,replacement_buy
2026-01-27,2026-01-26,long,HK.01787,BUY,1130.2256324445902,47.52375,53712.56039988859,replacement_buy
2026-01-27,2026-01-26,long,HK.02899,BUY,1220.129944116319,44.022,53712.56039988859,replacement_buy
2026-01-27,2026-01-26,long,HK.03330,BUY,2164.746675045082,24.8124,53712.5603998886,replacement_buy
2026-01-27,2026-01-26,long,HK.03993,BUY,2331.916595997769,23.031509999999997,53707.56039988857,replacement_buy
2026-01-28,2026-01-27,long,HK.00358,SELL,1149.5870993815424,45.977000000000004,52854.56606826518,replacement_sell
2026-01-28,2026-01-27,long,HK.01787,SELL,1130.2256324445902,48.27585,54562.60309805017,replacement_sell
2026-01-28,2026-01-27,long,HK.03330,SELL,2164.746675045082,25.56721,55346.53283767938,replacement_sell
2026-01-28,2026-01-27,long,HK.02338,BUY,2011.3669921220735,26.97348,54253.567334664906,replacement_buy
2026-01-28,2026-01-27,long,HK.03393,BUY,2206.1209970549676,24.59229,54253.567334664906,replacement_buy
2026-01-28,2026-01-27,long,HK.06869,BUY,723.944667648351,74.93745,54250.56733466492,replacement_buy
2026-01-29,2026-01-28,long,HK.02099,SELL,268.31748514284425,236.99820162,63590.761442055154,replacement_sell
2026-01-29,2026-01-28,long,HK.02338,SELL,2011.3669921220735,26.54672,53395.19635710689,replacement_sell
2026-01-29,2026-01-28,long,HK.03393,SELL,2206.1209970549676,23.50824,51862.021867807474,replacement_sell
2026-01-29,2026-01-28,long,HK.00358,BUY,1103.0104533809535,51.025499999999994,56281.65988898984,replacement_buy
2026-01-29,2026-01-28,long,HK.03330,BUY,2108.453265458344,26.69334,56281.65988898983,replacement_buy
2026-01-29,2026-01-28,long,HK.03858,BUY,618.4775659337987,90.995475,56278.65988898983,replacement_buy
2026-01-30,2026-01-29,long,HK.00631,SELL,5360.012334350088,12.09395,64823.72117101325,replacement_sell
2026-01-30,2026-01-29,long,HK.01208,SELL,5128.622234303711,11.004495,56437.897734284015,replacement_sell
2026-01-30,2026-01-29,long,HK.03330,SELL,2108.453265458344,24.3878,51420.536547345,replacement_sell
2026-01-30,2026-01-29,long,HK.03858,SELL,618.4775659337987,82.7586,51184.33748808887,replacement_sell
2026-01-30,2026-01-29,long,HK.00966,BUY,2190.197901643649,25.55277,55965.62323518278,replacement_buy
2026-01-30,2026-01-29,long,HK.01093,BUY,5113.131115902998,10.945469999999998,55965.623235182786,replacement_buy
2026-01-30,2026-01-29,long,HK.01164,BUY,11187.53088159576,5.0024999999999995,55965.62323518278,replacement_buy
2026-01-30,2026-01-29,long,HK.01787,BUY,1132.2602511534276,49.424699999999994,55961.62323518281,replacement_buy
2026-02-02,2026-01-30,long,HK.01093,SELL,5113.131115902998,9.69515,49572.573138346954,replacement_sell
2026-02-02,2026-01-30,long,HK.01787,SELL,1132.2602511534276,39.46026,44679.28389817955,replacement_sell
2026-02-02,2026-01-30,long,HK.02259,SELL,290.54537738175077,200.69960000000003,58312.34102236643,replacement_sell
2026-02-02,2026-01-30,long,HK.02899,SELL,1220.129944116319,37.70114,46000.28984132152,replacement_sell
2026-02-02,2026-01-30,long,HK.03993,SELL,2331.916595997769,20.9895,48945.763391695175,replacement_sell
2026-02-02,2026-01-30,long,HK.00005,BUY,374.02822976306385,132.34575980999998,49501.05025838193,replacement_buy
2026-02-02,2026-01-30,long,HK.00631,BUY,4129.90919051175,11.98599,49501.05025838193,replacement_buy
2026-02-02,2026-01-30,long,HK.01138,BUY,3503.988109230225,14.127059999999998,49501.05025838193,replacement_buy
2026-02-02,2026-01-30,long,HK.02338,BUY,1882.6602778664674,26.29314,49501.05025838193,replacement_buy
2026-02-02,2026-01-30,long,HK.03393,BUY,2069.929481216795,23.911949999999997,49496.05025838193,replacement_buy
2026-02-03,2026-02-02,long,HK.00358,SELL,1103.0104533809535,44.95751,49588.603487978755,replacement_sell
2026-02-03,2026-02-02,long,HK.01164,SELL,11187.53088159576,4.567715000000001,51101.45262082818,replacement_sell
2026-02-03,2026-02-02,long,HK.01347,SELL,506.48119108892735,106.64665000000001,54014.52231764396,replacement_sell
2026-02-03,2026-02-02,long,HK.03393,SELL,2069.929481216795,23.588200000000004,48825.910588838015,replacement_sell
2026-02-03,2026-02-02,long,HK.00016,BUY,424.43827538594445,119.87990999999998,50881.62225382223,replacement_buy
2026-02-03,2026-02-02,long,HK.02318,BUY,706.3360299547758,72.036,50881.62225382223,replacement_buy
2026-02-03,2026-02-02,long,HK.02628,BUY,1495.7704163748194,34.016999999999996,50881.62225382223,replacement_buy
2026-02-03,2026-02-02,long,HK.09626,BUY,191.89507983299762,265.1325,50877.62225382224,replacement_buy
2026-02-04,2026-02-03,long,HK.00016,SELL,424.43827538594445,121.55919000000002,51594.372960912355,replacement_sell
2026-02-04,2026-02-03,long,HK.09626,SELL,191.89507983299762,249.875,47949.78307327028,replacement_sell
2026-02-04,2026-02-03,long,HK.02259,BUY,222.6777301460788,223.5117,49771.07801709132,replacement_buy
2026-02-04,2026-02-03,long,HK.03939,BUY,3285.61465747254,15.14757,49769.07801709132,replacement_buy
2026-02-05,2026-02-04,long,HK.02259,SELL,222.6777301460788,212.89350000000002,47406.64134285423,replacement_sell
2026-02-05,2026-02-04,long,HK.02318,SELL,706.3360299547758,71.66415,50618.97120108355,replacement_sell
2026-02-05,2026-02-04,long,HK.00016,BUY,399.5050776028467,122.68131,49011.80627196889,replacement_buy
2026-02-05,2026-02-04,long,HK.00386,BUY,9139.051047604722,5.36268,49009.80627196889,replacement_buy
2026-02-06,2026-02-05,long,HK.00386,SELL,9139.051047604722,5.227385000000001,47773.33836048322,replacement_sell
2026-02-06,2026-02-05,long,HK.00631,SELL,4129.90919051175,12.793600000000001,52836.406219731136,replacement_sell
2026-02-06,2026-02-05,long,HK.02628,SELL,1495.7704163748194,33.3833,49933.752540965506,replacement_sell
2026-02-06,2026-02-05,long,HK.00006,BUY,809.6059429052214,61.980975,50180.165707059954,replacement_buy
2026-02-06,2026-02-05,long,HK.00066,BUY,1373.3594787233972,36.53826,50180.165707059954,replacement_buy
2026-02-06,2026-02-05,long,HK.01038,BUY,772.7594709126167,64.93245,50177.16570705994,replacement_buy
2026-02-09,2026-02-06,long,HK.00006,SELL,809.6059429052214,62.16890000000001,50332.310903880425,replacement_sell
2026-02-09,2026-02-06,long,HK.00066,SELL,1373.3594787233972,36.901540000000004,50679.079738490596,replacement_sell
2026-02-09,2026-02-06,long,HK.00631,BUY,3657.93156473832,13.8069,50504.695321185514,replacement_buy
2026-02-09,2026-02-06,long,HK.01797,BUY,1645.2886764305435,30.695339999999998,50502.695321185514,replacement_buy
2026-02-10,2026-02-09,long,HK.01038,SELL,772.7594709126167,64.06795,49509.11514445598,replacement_sell
2026-02-10,2026-02-09,long,HK.02628,BUY,1404.9509925462023,35.23761,49507.11514445598,replacement_buy
2026-02-11,2026-02-10,long,HK.00005,SELL,374.02822976306385,136.11153019,50909.55468730752,replacement_sell
2026-02-11,2026-02-10,long,HK.01797,SELL,1645.2886764305435,29.36531,48314.41202287261,replacement_sell
2026-02-11,2026-02-10,long,HK.00386,BUY,9233.927422711376,5.372685,49610.983355090066,replacement_buy
2026-02-11,2026-02-10,long,HK.02656,BUY,543.6863076695213,91.2456,49608.983355090066,replacement_buy
2026-02-12,2026-02-11,long,HK.00966,SELL,2190.197901643649,25.04747,54858.91623548225,replacement_sell
2026-02-12,2026-02-11,long,HK.02628,SELL,1404.9509925462023,34.44277,48390.403897540564,replacement_sell
2026-02-12,2026-02-11,long,HK.02656,SELL,543.6863076695213,62.968500000000006,34235.11126448825,replacement_sell
2026-02-12,2026-02-11,long,HK.00669,BUY,382.020364289668,119.95994999999999,45827.14379917036,replacement_buy
2026-02-12,2026-02-11,long,HK.02259,BUY,200.36851127878913,228.71429999999998,45827.14379917036,replacement_buy
2026-02-12,2026-02-11,long,HK.02883,BUY,4795.941693987599,9.554775,45824.14379917036,replacement_buy
2026-02-13,2026-02-12,long,HK.00386,SELL,9233.927422711376,5.587205,51591.84546581012,replacement_sell
2026-02-13,2026-02-12,long,HK.00669,SELL,382.020364289668,118.9405,45437.69313879526,replacement_sell
2026-02-13,2026-02-12,long,HK.02259,SELL,200.36851127878913,214.8925,43057.690309977195,replacement_sell
2026-02-13,2026-02-12,long,HK.01888,BUY,2424.488689241225,19.259625,46694.74297152753,replacement_buy
2026-02-13,2026-02-12,long,HK.02689,BUY,4851.4976369951755,9.624809999999998,46694.74297152753,replacement_buy
2026-02-13,2026-02-12,long,HK.03808,BUY,1114.8688190908729,41.88093,46691.74297152751,replacement_buy
2026-02-16,2026-02-13,long,HK.02883,SELL,4795.941693987599,9.5952,46018.01974214981,replacement_sell
2026-02-16,2026-02-13,long,HK.03393,BUY,1709.7778152615076,26.913449999999997,46016.019742149816,replacement_buy
2026-02-20,2026-02-16,long,HK.03808,SELL,1114.8688190908729,41.5792,46355.35360274322,replacement_sell
